empleado_id,departamento,nivel,ciudad,educacion,edad,salario_mensual,horas_semana,proyectos_completados,satisfaccion,fecha_ingreso
1033,Tecnología,Senior,Querétaro,Técnico,25,51972.49,40,8,4.4,2020-03-23
1034,Recursos Humanos,Semi-Senior,Querétaro,Licenciatura,30,67579.81,53,7,3.1,2022-06-24
1035,Marketing,Junior,Puebla,Licenciatura,34,37039.1,38,4,1.5,2020-08-25
1036,Marketing,Semi-Senior,CDMX,Licenciatura,29,63368.04,40,6,4.0,2015-08-03
1037,Tecnología,Junior,Querétaro,Maestría,28,35505.07,38,9,3.5,2018-02-01
1038,Finanzas,Semi-Senior,Monterrey,Maestría,30,78936.3,50,4,3.7,2020-08-06
1039,Recursos Humanos,Junior,Guadalajara,Maestría,41,74701.75,45,18,1.2,2016-11-29
1040,Finanzas,Senior,CDMX,Licenciatura,42,52950.17,39,8,1.5,2016-06-21
1041,Finanzas,Semi-Senior,CDMX,Maestría,32,60692.77,47,4,4.2,2018-05-03
1042,Finanzas,Semi-Senior,CDMX,Licenciatura,24,45927.53,41,8,2.8,2022-05-09
1043,Finanzas,Senior,CDMX,Maestría,23,85856.33,54,6,2.8,2020-09-14
1044,Marketing,Junior,CDMX,Licenciatura,58,38833.14,50,5,3.8,2024-09-22
1045,Finanzas,Junior,Querétaro,Licenciatura,57,50270.07,36,6,3.1,2023-07-26
1046,Recursos Humanos,Semi-Senior,Monterrey,Licenciatura,39,92294.29,43,9,3.0,2018-07-17
1047,Marketing,Junior,Querétaro,Licenciatura,27,33897.2,41,2,1.2,2021-06-22
1048,Ventas,Junior,Querétaro,Licenciatura,23,42144.15,48,6,1.5,2019-04-08
1049,Finanzas,Junior,Monterrey,Licenciatura,56,48211.88,54,5,2.6,2022-02-04
1050,Finanzas,Lead,CDMX,Doctorado,33,72903.12,51,7,4.6,2017-05-12
1051,Ventas,Semi-Senior,Monterrey,Doctorado,31,58223.1,44,8,5.0,2024-09-04
1052,Tecnología,Junior,Monterrey,Técnico,36,61685.82,50,10,3.9,2017-10-21
1053,Marketing,Senior,Puebla,Maestría,53,66780.13,49,11,4.9,2017-07-06
1054,Ventas,Semi-Senior,CDMX,Licenciatura,59,56894.99,47,6,1.1,2016-06-02
1055,Finanzas,Senior,CDMX,Licenciatura,31,58630.85,36,10,1.8,2020-09-11
1056,Recursos Humanos,Semi-Senior,CDMX,Doctorado,26,73119.82,50,6,4.8,2018-10-10
1057,Tecnología,Junior,Puebla,Licenciatura,37,28842.71,54,9,1.4,2017-10-17
1058,Ventas,Lead,Monterrey,Maestría,53,87121.06,43,8,3.9,2019-04-18
1059,Recursos Humanos,Lead,Guadalajara,Maestría,57,80144.57,39,11,4.6,2020-12-30
1060,Ventas,Senior,Puebla,Licenciatura,30,43302.45,38,6,1.4,2024-11-24
1061,Marketing,Junior,Querétaro,Maestría,45,34334.95,40,6,2.6,2022-03-23
1062,Finanzas,Junior,Querétaro,Licenciatura,51,50304.4,38,16,4.5,2021-11-20
1063,Finanzas,Junior,Guadalajara,Doctorado,34,48365.92,42,13,4.6,2021-07-12
1064,Recursos Humanos,Semi-Senior,Querétaro,Maestría,36,44806.91,41,5,4.2,2019-05-26
1065,Finanzas,Senior,Querétaro,Licenciatura,55,68782.68,43,7,1.3,2017-04-14
1066,Finanzas,Junior,Monterrey,Licenciatura,49,94101.92,43,11,1.4,2023-04-15
1067,Tecnología,Junior,Puebla,Licenciatura,47,54410.68,43,10,4.4,2016-03-15
1068,Ventas,Lead,Puebla,Licenciatura,22,89464.19,36,5,1.6,2018-07-31
1069,Marketing,Semi-Senior,Monterrey,Técnico,32,41266.48,39,12,4.5,2017-04-10
1070,Tecnología,Senior,CDMX,Licenciatura,43,61481.63,37,6,1.2,2021-04-16
1071,Ventas,Senior,CDMX,Maestría,36,49012.68,45,5,2.4,2024-01-30
1072,Ventas,Junior,CDMX,Técnico,59,39429.28,40,11,4.7,2018-08-16
1073,Ventas,Semi-Senior,Puebla,Licenciatura,23,55964.45,43,11,4.3,2017-12-31
1074,Finanzas,Junior,Guadalajara,Doctorado,59,47710.78,51,8,1.7,2024-02-02
1075,Marketing,Junior,Puebla,Licenciatura,32,36375.08,54,4,3.0,2021-10-10
1076,Tecnología,Lead,Guadalajara,Licenciatura,49,104639.74,49,11,3.2,2016-04-12
1077,Finanzas,Semi-Senior,Querétaro,Maestría,26,35783.58,40,6,2.0,2024-03-03
1078,Tecnología,Semi-Senior,Querétaro,Maestría,22,44575.37,53,11,2.2,2023-05-04
1079,Ventas,Junior,Querétaro,Licenciatura,36,69523.34,42,10,1.7,2016-06-02
1080,Finanzas,Semi-Senior,CDMX,Técnico,34,37948.77,37,8,1.5,2015-03-10
1081,Marketing,Semi-Senior,CDMX,Maestría,34,84980.41,46,5,2.9,2021-01-07
1082,Finanzas,Junior,Monterrey,Licenciatura,34,28222.16,51,7,4.4,2015-10-27
1083,Ventas,Senior,Querétaro,Licenciatura,47,55821.45,42,6,3.3,2023-10-14
1084,Tecnología,Junior,Puebla,Maestría,34,43622.94,51,12,4.9,2024-09-11
1085,Finanzas,Junior,Guadalajara,Maestría,24,30857.5,36,5,3.7,2021-10-30
1086,Recursos Humanos,Lead,Puebla,Doctorado,23,108868.71,42,11,2.3,2019-08-24
1087,Recursos Humanos,Lead,CDMX,Licenciatura,39,99284.17,37,3,1.8,2015-12-23
1088,Finanzas,Junior,Monterrey,Técnico,38,58096.27,35,9,3.7,2016-06-07
1089,Marketing,Lead,Puebla,Licenciatura,23,70520.75,52,6,3.2,2024-10-25
1090,Ventas,Semi-Senior,Guadalajara,Maestría,33,43735.89,49,4,1.7,2016-07-07
1091,Finanzas,Junior,Guadalajara,Licenciatura,25,48743.68,48,6,3.4,2015-09-02
1092,Marketing,Junior,CDMX,Técnico,29,42760.48,47,7,3.9,2017-03-05
1093,Recursos Humanos,Junior,Puebla,Maestría,50,53819.46,41,10,2.9,2024-11-30
1094,Tecnología,Junior,Monterrey,Licenciatura,54,34754.86,35,14,3.2,2024-07-29
1095,Ventas,Semi-Senior,Puebla,Licenciatura,50,36019.24,54,10,3.4,2022-09-14
1096,Recursos Humanos,Junior,Querétaro,Maestría,52,41918.08,46,5,1.5,2022-11-12
1097,Tecnología,Semi-Senior,Monterrey,Licenciatura,25,48103.29,44,11,4.3,2024-03-21
1098,Ventas,Junior,Guadalajara,Maestría,42,45637.46,47,6,4.1,2016-04-10
1099,Marketing,Lead,Monterrey,Licenciatura,29,68777.91,51,10,4.2,2019-08-24
1100,Recursos Humanos,Junior,Guadalajara,Técnico,52,44912.86,42,7,1.4,2016-11-24
1101,Finanzas,Semi-Senior,Puebla,Licenciatura,32,32368.63,49,9,3.0,2018-08-08
1102,Tecnología,Semi-Senior,Puebla,Licenciatura,24,34445.32,36,6,1.6,2021-05-16
1103,Recursos Humanos,Junior,Puebla,Licenciatura,23,25839.24,36,9,4.6,2023-09-14
1104,Tecnología,Junior,Guadalajara,Técnico,31,51775.58,50,9,1.8,2015-02-12
1105,Tecnología,Semi-Senior,Querétaro,Licenciatura,42,47076.33,47,11,4.6,2015-01-05
1106,Finanzas,Junior,Puebla,Maestría,48,41783.81,49,8,2.0,2016-08-28
1107,Ventas,Senior,Monterrey,Licenciatura,45,75518.24,45,8,2.9,2023-07-02
1108,Tecnología,Junior,Puebla,Maestría,50,39347.85,47,9,3.6,2015-11-03
1109,Finanzas,Semi-Senior,CDMX,Doctorado,32,33537.45,44,3,4.6,2017-05-03
1110,Tecnología,Senior,Guadalajara,Licenciatura,30,54054.32,47,11,2.9,2016-02-22
1111,Recursos Humanos,Junior,Monterrey,Maestría,39,34815.11,51,9,2.0,2015-12-27
1112,Ventas,Semi-Senior,Monterrey,Licenciatura,57,49385.13,38,6,1.2,2021-07-23
1113,Recursos Humanos,Semi-Senior,Puebla,Doctorado,41,37117.2,35,10,1.8,2015-08-12
1114,Ventas,Semi-Senior,CDMX,Licenciatura,29,74143.15,44,5,4.5,2021-01-19
1115,Finanzas,Semi-Senior,CDMX,Maestría,49,57698.7,47,10,2.3,2023-05-03
1116,Recursos Humanos,Semi-Senior,CDMX,Licenciatura,36,61358.55,53,8,3.0,2021-04-23
1117,Tecnología,Semi-Senior,Puebla,Maestría,23,37817.41,43,7,3.3,2024-01-05
1118,Recursos Humanos,Junior,Guadalajara,Técnico,43,32464.19,48,3,1.4,2016-01-31
1119,Tecnología,Semi-Senior,Guadalajara,Maestría,42,64172.84,44,10,1.2,2022-08-20
1120,Tecnología,Junior,Querétaro,Licenciatura,37,45477.57,39,6,4.9,2024-10-11
1121,Tecnología,Lead,Monterrey,Licenciatura,46,88736.23,51,5,2.2,2020-01-29
1122,Finanzas,Junior,Guadalajara,Licenciatura,48,44733.1,48,8,2.6,2023-05-19
1123,Finanzas,Senior,Querétaro,Licenciatura,30,57354.72,51,8,2.3,2015-08-13
1124,Ventas,Senior,Monterrey,Licenciatura,22,58957.33,41,5,1.4,2017-06-05
1125,Finanzas,Senior,Monterrey,Licenciatura,32,54056.94,48,8,3.6,2019-02-05
1126,Recursos Humanos,Semi-Senior,Monterrey,Licenciatura,50,39116.09,41,14,3.7,2021-10-22
1127,Finanzas,Junior,Guadalajara,Licenciatura,53,52857.33,43,8,3.6,2020-03-20
1128,Tecnología,Junior,Monterrey,Licenciatura,32,31449.83,52,10,2.5,2019-02-06
1129,Recursos Humanos,Junior,Puebla,Licenciatura,26,33758.68,38,10,1.6,2016-12-19
1130,Tecnología,Junior,Querétaro,Maestría,31,46917.29,49,8,2.2,2020-01-08
1131,Tecnología,Lead,Puebla,Licenciatura,36,72193.67,46,11,4.8,2019-11-01
1132,Tecnología,Junior,Puebla,Maestría,34,38386.83,37,8,2.3,2017-08-24
1133,Recursos Humanos,Lead,Puebla,Maestría,30,93710.87,37,5,3.5,2024-09-11
1134,Marketing,Semi-Senior,CDMX,Técnico,47,49029.86,42,10,3.4,2015-09-07
1135,Tecnología,Junior,Puebla,Licenciatura,48,88390.31,46,7,4.3,2021-09-03
1136,Marketing,Junior,Monterrey,Técnico,40,36810.81,35,9,4.4,2015-01-08
1137,Marketing,Semi-Senior,Monterrey,Maestría,28,56074.27,46,9,1.2,2019-12-02
1138,Marketing,Semi-Senior,Guadalajara,Licenciatura,54,41013.52,53,8,2.8,2020-04-20
1139,Ventas,Junior,Guadalajara,Licenciatura,34,51461.4,49,14,4.8,2021-08-03
1140,Tecnología,Lead,Guadalajara,Maestría,55,87143.8,51,11,3.8,2015-09-23
1141,Tecnología,Junior,Puebla,Licenciatura,36,61502.38,49,9,4.8,2015-02-26
1142,Finanzas,Lead,Guadalajara,Técnico,33,74371.16,50,6,2.7,2021-06-10
1143,Recursos Humanos,Semi-Senior,CDMX,Licenciatura,27,73907.67,37,9,2.3,2016-09-15
1144,Recursos Humanos,Senior,Guadalajara,Licenciatura,22,65319.8,40,3,4.1,2021-01-28
1145,Finanzas,Junior,CDMX,Licenciatura,39,44279.36,44,4,2.8,2017-12-22
1146,Finanzas,Semi-Senior,Guadalajara,Licenciatura,26,58765.92,54,7,1.2,2021-04-08
1147,Ventas,Junior,Guadalajara,Licenciatura,34,32981.41,54,10,1.8,2023-12-15
1148,Finanzas,Lead,Monterrey,Maestría,38,80238.44,51,6,1.5,2020-09-10
1149,Marketing,Semi-Senior,Guadalajara,Técnico,29,41640.29,42,12,1.1,2016-10-04
1150,Marketing,Junior,Puebla,Técnico,28,32172.88,40,9,3.3,2018-07-04
1151,Tecnología,Senior,CDMX,Licenciatura,40,78758.53,47,6,1.9,2015-01-16
1152,Finanzas,Senior,Querétaro,Licenciatura,56,82588.49,49,7,4.6,2021-05-25
1153,Recursos Humanos,Semi-Senior,Puebla,Licenciatura,33,42505.36,47,9,1.6,2020-05-22
1154,Finanzas,Lead,Monterrey,Maestría,46,86823.32,45,8,4.4,2024-11-08
1155,Finanzas,Junior,Guadalajara,Licenciatura,39,29484.47,46,10,4.4,2024-04-12
1156,Finanzas,Junior,Guadalajara,Licenciatura,46,33507.85,50,7,2.8,2021-08-31
1157,Ventas,Semi-Senior,Puebla,Licenciatura,31,56143.75,41,5,3.2,2018-08-07
1158,Ventas,Senior,CDMX,Maestría,55,50965.1,52,4,3.0,2018-07-26
1159,Marketing,Semi-Senior,Querétaro,Licenciatura,38,55210.1,48,7,3.2,2015-06-20
1160,Finanzas,Junior,CDMX,Licenciatura,22,49817.34,43,4,3.4,2020-02-02
1161,Ventas,Junior,Querétaro,Licenciatura,46,40469.37,50,6,4.1,2023-09-12
1162,Recursos Humanos,Semi-Senior,CDMX,Licenciatura,50,44720.25,37,13,3.6,2022-04-03
1163,Recursos Humanos,Semi-Senior,Monterrey,Técnico,48,37820.9,42,7,1.2,2016-10-03
1164,Finanzas,Junior,Querétaro,Licenciatura,50,50786.83,48,9,1.0,2023-08-17
1165,Finanzas,Senior,Querétaro,Licenciatura,50,52160.56,45,10,1.0,2016-07-19
1166,Tecnología,Junior,Monterrey,Licenciatura,36,45685.86,36,9,3.3,2015-03-22
1167,Ventas,Senior,Monterrey,Licenciatura,49,60467.29,45,3,2.2,2018-04-30
1168,Tecnología,Semi-Senior,Guadalajara,Maestría,50,55534.78,49,14,2.8,2015-08-19
1169,Recursos Humanos,Semi-Senior,Querétaro,Licenciatura,50,56256.55,35,10,1.4,2024-05-05
1170,Tecnología,Lead,Monterrey,Técnico,46,107139.86,54,7,3.3,2022-04-01
1171,Recursos Humanos,Lead,Monterrey,Técnico,43,93164.53,49,10,1.0,2021-04-22
1172,Finanzas,Junior,Guadalajara,Maestría,41,69954.93,45,8,2.6,2020-10-19
1173,Finanzas,Junior,CDMX,Maestría,44,51271.28,49,11,4.6,2016-11-30
1174,Recursos Humanos,Senior,CDMX,Técnico,24,58929.63,48,6,4.9,2017-07-30
1175,Tecnología,Semi-Senior,Querétaro,Licenciatura,27,52578.59,54,6,3.6,2018-07-27
1176,Ventas,Lead,Querétaro,Licenciatura,55,83859.52,41,6,4.4,2020-07-15
1177,Finanzas,Junior,Querétaro,Licenciatura,44,40758.63,44,9,3.9,2015-01-24
1178,Ventas,Senior,Querétaro,Maestría,29,70333.83,48,11,2.6,2023-08-24
1179,Marketing,Semi-Senior,Puebla,Maestría,22,28298.85,37,6,4.0,2024-02-02
1180,Ventas,Senior,CDMX,Maestría,45,76098.43,49,7,2.5,2019-08-23
1181,Ventas,Senior,Querétaro,Licenciatura,34,55767.0,47,7,1.2,2023-01-01
1182,Tecnología,Semi-Senior,Puebla,Licenciatura,40,47312.29,50,9,3.7,2015-09-04
1183,Tecnología,Lead,Guadalajara,Licenciatura,44,103831.96,37,7,4.4,2021-04-26
1184,Marketing,Lead,Puebla,Técnico,38,96499.24,48,7,3.2,2015-02-19
1185,Tecnología,Senior,Monterrey,Licenciatura,50,64445.69,35,5,2.3,2024-04-13
1186,Ventas,Senior,Puebla,Licenciatura,55,54841.31,38,12,2.4,2022-09-08
1187,Finanzas,Junior,Guadalajara,Técnico,37,40226.21,42,4,2.4,2019-07-21
1188,Tecnología,Senior,CDMX,Técnico,28,52638.55,48,8,3.3,2017-10-30
1189,Finanzas,Semi-Senior,Monterrey,Licenciatura,41,69248.62,38,8,1.3,2021-01-06
1190,Marketing,Lead,Monterrey,Maestría,59,73504.64,38,6,2.1,2022-11-21
1191,Finanzas,Semi-Senior,Querétaro,Licenciatura,39,64104.86,38,5,4.6,2024-09-06
1192,Tecnología,Senior,CDMX,Maestría,41,64151.12,36,11,4.9,2015-09-03
1193,Tecnología,Junior,Puebla,Licenciatura,58,55828.32,44,7,1.2,2017-04-29
1194,Ventas,Junior,Puebla,Maestría,54,37049.18,52,6,3.0,2017-01-23
1195,Finanzas,Junior,Puebla,Doctorado,35,45206.13,49,7,1.3,2015-04-13
1196,Recursos Humanos,Junior,Guadalajara,Licenciatura,23,26671.51,48,8,2.3,2016-06-07
1197,Marketing,Senior,Querétaro,Maestría,36,44926.04,50,6,4.4,2023-08-07
1198,Finanzas,Semi-Senior,Monterrey,Licenciatura,42,45444.2,41,5,4.7,2015-08-09
1199,Ventas,Lead,Guadalajara,Licenciatura,52,97698.66,51,9,4.7,2022-06-10
1200,Ventas,Junior,Guadalajara,Técnico,23,31980.84,38,7,4.0,2015-12-22
1201,Finanzas,Semi-Senior,Monterrey,Maestría,37,46622.76,48,12,3.9,2017-05-17
1202,Tecnología,Semi-Senior,Puebla,Técnico,27,45558.42,38,4,2.8,2021-12-10
1203,Tecnología,Junior,Guadalajara,Licenciatura,59,40918.31,51,7,1.7,2023-02-02
1204,Recursos Humanos,Junior,Monterrey,Licenciatura,58,31441.57,43,4,4.0,2024-01-28
1205,Ventas,Junior,Monterrey,Licenciatura,42,48812.56,47,13,1.9,2024-10-11
1206,Tecnología,Semi-Senior,Querétaro,Maestría,25,27980.94,44,6,1.3,2022-07-22
1207,Recursos Humanos,Junior,Puebla,Licenciatura,39,43235.73,47,11,1.3,2019-04-06
1208,Ventas,Junior,Querétaro,Maestría,23,21533.05,52,9,2.6,2023-01-15
1209,Tecnología,Lead,CDMX,Maestría,54,100205.78,48,10,2.7,2019-12-31
1210,Recursos Humanos,Semi-Senior,Querétaro,Técnico,29,35391.48,41,15,3.3,2021-04-22
1211,Tecnología,Junior,CDMX,Licenciatura,44,58930.09,49,8,2.8,2021-11-09
1212,Recursos Humanos,Junior,Querétaro,Licenciatura,34,33647.92,51,9,4.4,2022-01-21
1213,Recursos Humanos,Junior,Querétaro,Licenciatura,45,56975.31,35,8,4.9,2024-10-30
1214,Tecnología,Junior,Monterrey,Licenciatura,53,63191.24,41,8,4.6,2018-02-19
1215,Marketing,Senior,Monterrey,Licenciatura,22,45201.56,39,12,3.1,2022-06-17
1216,Marketing,Semi-Senior,Guadalajara,Licenciatura,44,56315.54,42,8,2.6,2020-04-14
1217,Tecnología,Junior,Querétaro,Técnico,42,76708.15,47,8,3.6,2015-10-19
1218,Ventas,Junior,Monterrey,Licenciatura,23,36686.91,46,9,1.6,2022-06-06
1219,Recursos Humanos,Senior,Puebla,Licenciatura,41,121302.19,38,10,4.2,2024-06-04
1220,Tecnología,Junior,Querétaro,Maestría,42,37091.52,43,12,2.8,2015-06-20
1221,Finanzas,Semi-Senior,Puebla,Técnico,26,42824.84,54,6,3.1,2021-11-18
1222,Recursos Humanos,Lead,CDMX,Licenciatura,49,97023.85,53,10,5.0,2017-03-09
1223,Finanzas,Junior,Monterrey,Licenciatura,52,39153.69,35,4,4.4,2023-11-27
1224,Tecnología,Senior,Puebla,Maestría,32,73517.02,42,12,3.7,2022-05-12
1225,Recursos Humanos,Senior,Querétaro,Licenciatura,36,49112.76,40,3,1.4,2023-06-09
1226,Ventas,Junior,Puebla,Licenciatura,27,59749.47,45,5,3.0,2018-01-31
1227,Finanzas,Junior,Monterrey,Maestría,50,41517.73,43,7,3.0,2024-07-29
1228,Ventas,Junior,Puebla,Licenciatura,43,38806.01,36,6,2.8,2017-09-19
1229,Finanzas,Lead,Puebla,Doctorado,28,75400.62,44,16,3.3,2022-06-05
1230,Marketing,Senior,CDMX,Licenciatura,31,59630.2,48,11,4.1,2020-08-14
1231,Finanzas,Lead,Puebla,Licenciatura,58,108228.28,46,12,4.0,2024-02-02
1232,Marketing,Semi-Senior,CDMX,Maestría,51,109089.25,48,5,3.1,2019-07-25
1233,Tecnología,Junior,Monterrey,Licenciatura,54,36015.68,41,15,3.8,2020-12-01
1234,Marketing,Senior,Guadalajara,Licenciatura,39,45802.3,49,12,2.6,2022-01-05
1235,Ventas,Semi-Senior,Guadalajara,Técnico,51,55751.2,54,9,2.8,2015-06-19
1236,Recursos Humanos,Senior,Querétaro,Maestría,36,50958.21,37,10,2.5,2015-12-22
1237,Marketing,Junior,Monterrey,Licenciatura,55,36194.49,53,11,4.5,2017-10-11
1238,Finanzas,Lead,CDMX,Técnico,43,74191.97,38,6,2.2,2022-02-27
1239,Recursos Humanos,Junior,Guadalajara,Licenciatura,41,35262.96,40,9,4.8,2021-04-07
1240,Ventas,Junior,Puebla,Técnico,53,41985.04,46,4,4.3,2019-06-23
1241,Ventas,Semi-Senior,CDMX,Licenciatura,48,60962.54,53,6,1.4,2022-09-14
1242,Finanzas,Senior,Puebla,Licenciatura,52,92610.41,51,10,3.1,2019-01-04
1243,Finanzas,Semi-Senior,Puebla,Licenciatura,30,61519.01,48,6,2.3,2022-01-07
1244,Tecnología,Semi-Senior,Querétaro,Licenciatura,41,57222.68,43,8,3.2,2020-09-14
1245,Tecnología,Junior,CDMX,Licenciatura,26,31136.06,44,8,4.9,2016-02-10
1246,Ventas,Semi-Senior,CDMX,Maestría,43,70663.25,44,8,1.5,2019-03-09
1247,Tecnología,Lead,Guadalajara,Maestría,30,88421.22,50,5,2.0,2019-06-01
1248,Finanzas,Junior,Puebla,Técnico,29,34727.92,51,4,2.6,2015-04-27
1249,Recursos Humanos,Semi-Senior,CDMX,Técnico,38,89432.68,46,9,2.2,2019-02-18
1250,Tecnología,Semi-Senior,Monterrey,Licenciatura,48,64840.05,35,3,4.1,2024-05-07
1251,Marketing,Semi-Senior,Guadalajara,Licenciatura,31,52220.5,47,5,3.6,2020-10-30
1252,Recursos Humanos,Senior,Guadalajara,Licenciatura,49,113745.32,40,8,4.4,2017-06-15
1253,Ventas,Semi-Senior,Guadalajara,Licenciatura,52,128668.39,46,5,1.2,2020-03-07
1254,Finanzas,Senior,Monterrey,Maestría,35,51933.18,48,6,2.2,2018-11-01
1255,Finanzas,Junior,Puebla,Licenciatura,38,32157.78,37,2,3.1,2024-08-25
1256,Ventas,Semi-Senior,Querétaro,Licenciatura,35,64587.86,41,7,4.2,2018-05-21
1257,Tecnología,Junior,Puebla,Licenciatura,35,40941.96,36,4,4.2,2024-07-09
1258,Ventas,Senior,Guadalajara,Maestría,46,69786.72,49,11,4.0,2022-07-03
1259,Marketing,Senior,CDMX,Licenciatura,44,66609.24,47,8,1.8,2020-06-15
1260,Finanzas,Senior,Puebla,Maestría,40,80875.85,51,7,4.4,2020-08-04
1261,Tecnología,Semi-Senior,CDMX,Licenciatura,53,40534.76,40,9,4.6,2020-02-29
1262,Tecnología,Junior,Querétaro,Licenciatura,27,23663.91,38,8,4.8,2017-12-20
1263,Marketing,Semi-Senior,Puebla,Maestría,43,40441.97,41,8,1.7,2015-08-26
1264,Ventas,Senior,Puebla,Maestría,34,65836.02,47,7,1.3,2016-08-02
1265,Tecnología,Semi-Senior,Puebla,Maestría,55,53507.46,49,11,3.7,2019-02-23
1266,Tecnología,Junior,Monterrey,Maestría,43,46602.95,51,8,3.6,2016-09-03
1267,Ventas,Semi-Senior,Puebla,Licenciatura,48,110171.52,54,9,1.1,2015-11-13
1268,Marketing,Lead,Puebla,Licenciatura,58,87323.13,38,6,3.6,2018-11-05
1269,Recursos Humanos,Junior,Monterrey,Licenciatura,48,41093.75,37,12,2.1,2021-09-07
1270,Tecnología,Semi-Senior,Querétaro,Licenciatura,53,68606.99,43,4,3.6,2019-08-05
1271,Recursos Humanos,Senior,Monterrey,Maestría,23,48333.47,50,12,1.1,2017-01-30
1272,Recursos Humanos,Junior,CDMX,Licenciatura,57,37057.41,47,10,3.6,2023-11-10
1273,Marketing,Junior,Puebla,Licenciatura,47,67948.6,45,5,4.7,2015-09-20
1274,Finanzas,Senior,CDMX,Licenciatura,45,71494.39,50,10,1.4,2017-09-26
1275,Marketing,Junior,CDMX,Maestría,39,40188.86,38,6,2.9,2023-03-26
1276,Finanzas,Junior,CDMX,Licenciatura,52,37309.08,53,12,1.5,2021-07-03
1277,Finanzas,Semi-Senior,Monterrey,Licenciatura,38,55778.06,37,5,3.0,2024-12-04
1278,Ventas,Junior,Guadalajara,Licenciatura,29,34525.74,47,11,4.0,2018-08-20
1279,Marketing,Senior,Puebla,Licenciatura,55,64991.7,35,11,1.0,2021-06-03
1280,Marketing,Semi-Senior,Monterrey,Técnico,56,51382.72,46,9,2.9,2021-08-27
1281,Ventas,Semi-Senior,Querétaro,Maestría,22,56936.75,46,6,3.6,2022-05-04
1282,Marketing,Semi-Senior,CDMX,Técnico,59,81086.43,46,6,3.5,2023-05-15
1283,Finanzas,Junior,Querétaro,Licenciatura,29,42490.65,53,11,3.1,2021-03-14
1284,Marketing,Junior,Querétaro,Maestría,56,46166.83,54,4,2.9,2015-09-10
1285,Recursos Humanos,Junior,Puebla,Maestría,48,45994.25,40,7,4.8,2022-11-08
1286,Ventas,Semi-Senior,CDMX,Licenciatura,51,49147.47,40,7,1.8,2020-03-13
