id_venta,fecha,pais,categoria,precio_unitario,cantidad,precio_total,metodo_pago,calificacion,edad_cliente
1491,,ESPAÑA,ROPA,620.59,3,$1861.77,Tarjeta,5.0,45.0
1175,2024-05-25,MX,Electrónica,20130.0,1,20130.0,PayPal,4.0,18.0
1461,15/01/2024,colombia,hogar,164.64,1,$164.64,tarjeta,3.0,-5.0
1337,2024-01-15,España,hogar,137.97,2,275.94,paypal,99.0,
1453,2024-02-20,Perú,Juguetes,297.49,2,$594.98,efectivo,,52.0
1088,15/01/2024,,Electronica ,611.05,1,$611.05,Tarjeta,5.0,18.0
1109,2024-05-25,MEXICO,Ropa,1076.31,1,1076.31,,1.0,52.0
1377,,colombia,Electronica ,300.68,1,$300.68,,1.0,25.0
1055,2024-01-15,España,Hogar,229.59,1,229.59,efectivo,3.0,52.0
1050,2024-02-20,mexico,ROPA,496.8,2,993.6,Tarjeta,3.0,200.0
1091,,MX,ROPA,941.72,2,1883.44,paypal,5.0,25.0
1174,2024-01-15,Perú,Ropa,1623.71,1,$1623.71,PayPal,99.0,34.0
1343,2024/04/10,Perú,hogar,694.68,2,1389.36,Efectivo,99.0,200.0
1265,2024-02-20,mexico,Electrónica,628.51,1,$628.51,tarjeta,5.0,18.0
1112,,Colombia,juguetes,1049.85,1,1049.85,,99.0,25.0
1017,2024-01-15,mexico,juguetes,471.21,1,471.21,tarjeta,3.0,18.0
1257,01-03-2024,España,Electrónica,406.95,1,$406.95,tarjeta,,45.0
1548,2024-02-20,  México ,Ropa,229.77,1,229.77,paypal,3.0,34.0
1160,2024-02-20,MX,electronica,150.61,1,150.61,PayPal,1.0,
1277,,ESPAÑA,Juguetes,618.96,1,$618.96,Efectivo,,18.0
1146,2024-02-20,MEXICO,Hogar,207.72,2,415.44,PayPal,2.0,25.0
1030,2024-01-15,España,Electrónica,603.52,2,$1207.04,Tarjeta,3.0,18.0
1530,2024-05-25,,Hogar,217.23,1,217.23,Efectivo,3.0,18.0
1228,2024-02-20,MEXICO,,316.31,1,316.31,Tarjeta,1.0,45.0
1123,2024-02-20,Peru,Electronica ,717.2,2,1434.4,efectivo,1.0,-5.0
1099,2024-01-15,MX,hogar,133.01,2,$266.02,Tarjeta,5.0,-5.0
1523,2024-05-25,Perú,juguetes,203.21,4,812.84,efectivo,,34.0
1599,2024/04/10,Peru,Ropa,,4,5981.04,paypal,1.0,25.0
1067,2024-05-25,ESPAÑA,juguetes,1040.51,1,$1040.51,tarjeta,2.0,34.0
1283,2024-02-20,Peru,electronica,160.28,1,160.28,,4.0,34.0
1038,2024-02-20,,Juguetes,660.71,1,660.71,PayPal,4.0,25.0
1185,2024-02-20,mexico,Electrónica,115.02,1,$115.02,paypal,1.0,-5.0
1522,15/01/2024,colombia,hogar,109.87,1,$109.87,paypal,3.0,25.0
1106,15/01/2024,España,,221.68,1,221.68,efectivo,5.0,
1535,2024/04/10,mexico,,598.47,2,1196.94,paypal,4.0,34.0
1124,2024-02-20,México,Electrónica,868.55,1,868.55,tarjeta,1.0,-5.0
1134,01-03-2024,Perú,electronica,432.22,1,432.22,Efectivo,99.0,18.0
1141,01-03-2024,mexico,Juguetes,,1,457.33,,,34.0
1181,2024/04/10,,Juguetes,818.3,2,1636.6,tarjeta,,18.0
1295,2024-05-25,España,Electronica ,389.28,2,778.56,Efectivo,3.0,200.0
1499,01-03-2024,Perú,Electronica ,216.52,1,216.52,paypal,,34.0
1166,15/01/2024,mexico,electronica,288.57,1,288.57,efectivo,,34.0
1505,2024-02-20,Perú,Hogar,630.37,2,1260.74,paypal,3.0,18.0
1006,01-03-2024,ESPAÑA,ROPA,1387.78,1,1387.78,paypal,3.0,200.0
1013,2024-05-25,MEXICO,,451.62,1,451.62,tarjeta,99.0,25.0
1584,2024-05-25,México,juguetes,326.01,1,326.01,Tarjeta,1.0,45.0
1223,01-03-2024,Colombia,Hogar,272.01,1,272.01,Efectivo,2.0,52.0
1464,,ESPAÑA,electronica,732.62,3,$2197.86,paypal,5.0,18.0
1558,2024-01-15,mexico,Electrónica,752.11,3,2256.33,Efectivo,,45.0
1301,2024-01-15,mexico,electronica,557.08,1,557.08,efectivo,5.0,-5.0
1165,01-03-2024,ESPAÑA,,1086.85,1,1086.85,efectivo,2.0,34.0
1288,2024-01-15,MX,Electronica ,160.51,1,160.51,Efectivo,2.0,18.0
1361,2024-02-20,ESPAÑA,Juguetes,25.78,1,$25.78,PayPal,99.0,200.0
1331,2024-05-25,,Juguetes,497.0,1,497.0,paypal,4.0,-5.0
1389,2024-02-20,Colombia,Hogar,454.81,1,454.81,efectivo,99.0,-5.0
1515,2024-02-20,Peru,Ropa,332.83,1,332.83,efectivo,99.0,25.0
1047,2024-01-15,mexico,Hogar,667.11,1,667.11,Tarjeta,99.0,200.0
1128,2024-02-20,,juguetes,224.28,1,224.28,Efectivo,4.0,45.0
1237,15/01/2024,España,Ropa,238.74,1,238.74,paypal,3.0,
1138,2024-01-15,MX,Juguetes,310.28,1,$310.28,tarjeta,3.0,18.0
1418,2024/04/10,MX,ROPA,269.65,1,269.65,Tarjeta,3.0,200.0
1070,2024/04/10,Colombia,Electronica ,439.4,3,$1318.2,Tarjeta,4.0,52.0
1590,,México,Electrónica,895.63,3,$2686.89,paypal,99.0,34.0
1450,2024-01-15,España,ROPA,232.97,3,698.91,paypal,99.0,45.0
1063,,México,electronica,459.33,1,459.33,Efectivo,4.0,18.0
1270,2024-02-20,  México ,,,1,157.75,paypal,2.0,34.0
1159,01-03-2024,,juguetes,904.1,1,904.1,Tarjeta,4.0,52.0
1170,2024-05-25,ESPAÑA,Electrónica,288.78,2,577.56,tarjeta,4.0,45.0
1579,2024-02-20,  México ,juguetes,863.98,1,$863.98,tarjeta,2.0,34.0
1567,,Perú,juguetes,803.37,1,803.37,Efectivo,3.0,45.0
1074,,Peru,ROPA,714.56,3,2143.68,,5.0,
1540,2024-02-20,Peru,electronica,1281.77,1,$1281.77,tarjeta,3.0,45.0
1390,2024-01-15,MEXICO,Electrónica,278.13,1,278.13,efectivo,4.0,34.0
1231,2024/04/10,Perú,Hogar,1201.31,3,$3603.93,efectivo,,52.0
1442,2024-01-15,Colombia,hogar,112.83,1,$112.83,Efectivo,1.0,
1423,,colombia,hogar,658.43,1,658.43,efectivo,99.0,18.0
1145,2024/04/10,Peru,hogar,524.48,1,524.48,Tarjeta,2.0,52.0
1184,15/01/2024,MX,Ropa,344.95,2,689.9,paypal,4.0,52.0
1566,15/01/2024,,Electronica ,762.81,2,1525.62,Tarjeta,5.0,34.0
1309,01-03-2024,México,electronica,648.45,2,$1296.9,Tarjeta,99.0,18.0
1256,2024-05-25,MX,ROPA,456.25,4,$1825.0,,3.0,45.0
1344,,colombia,Ropa,532.49,2,1064.98,paypal,1.0,52.0
1597,,Peru,Hogar,546.22,1,546.22,efectivo,,18.0
1457,15/01/2024,Peru,juguetes,568.37,1,568.37,tarjeta,1.0,34.0
1026,01-03-2024,mexico,,,3,1018.95,Tarjeta,3.0,-5.0
1114,,colombia,Hogar,528.71,1,$528.71,Efectivo,3.0,18.0
1150,15/01/2024,Perú,,155.24,1,155.24,,3.0,34.0
1299,15/01/2024,México,Ropa,932.81,1,932.81,Tarjeta,4.0,
1268,2024-02-20,,juguetes,183.17,2,$366.34,Efectivo,99.0,25.0
1448,15/01/2024,colombia,,723.67,1,$723.67,paypal,99.0,34.0
1521,2024-01-15,colombia,ROPA,510.43,3,1531.29,Efectivo,,
1192,01-03-2024,  México ,ROPA,74.02,1,74.02,Efectivo,99.0,25.0
1148,15/01/2024,  México ,,1699.79,2,3399.58,efectivo,4.0,25.0
1105,2024-05-25,Peru,Hogar,871.68,2,1743.36,tarjeta,2.0,-5.0
1195,2024-01-15,mexico,Ropa,99.8,1,99.8,tarjeta,,
1408,2024-05-25,Peru,electronica,347.41,1,347.41,efectivo,2.0,200.0
1330,2024-01-15,España,juguetes,232.88,1,232.88,Tarjeta,,
1308,2024-05-25,México,,173.82,1,$173.82,efectivo,1.0,18.0
1014,2024-02-20,Perú,hogar,1738.67,2,3477.34,PayPal,1.0,200.0
1439,,,ROPA,578.88,1,578.88,paypal,,200.0
1412,2024-01-15,Peru,Ropa,145.26,1,$145.26,Efectivo,5.0,25.0
1211,2024-01-15,MEXICO,juguetes,42.19,2,$84.38,PayPal,5.0,34.0
1445,2024-05-25,Perú,electronica,279.68,1,279.68,Efectivo,2.0,45.0
1318,2024-05-25,ESPAÑA,Electronica ,260.51,2,521.02,,,200.0
1210,2024-05-25,ESPAÑA,Electronica ,258.22,1,258.22,Efectivo,3.0,-5.0
1458,2024/04/10,México,Hogar,378.74,3,1136.22,,4.0,18.0
1081,15/01/2024,mexico,Electrónica,1083.43,1,1083.43,PayPal,99.0,45.0
1036,2024-05-25,Peru,hogar,723.95,2,1447.9,Tarjeta,99.0,34.0
1018,2024-05-25,MEXICO,Electrónica,867.74,1,867.74,Efectivo,1.0,52.0
1287,2024-02-20,Peru,Electrónica,230.9,4,923.6,,1.0,52.0
1233,01-03-2024,MX,,592.2,1,592.2,Tarjeta,,200.0
1532,,,Electrónica,1699.0,1,1699.0,tarjeta,3.0,45.0
1579,2024-02-20,  México ,juguetes,863.98,1,$863.98,tarjeta,2.0,34.0
1034,01-03-2024,México,Juguetes,618.39,1,618.39,PayPal,5.0,200.0
1095,2024-05-25,ESPAÑA,electronica,343.95,3,1031.85,PayPal,3.0,34.0
1111,2024-05-25,España,ROPA,324.8,2,$649.6,Efectivo,4.0,-5.0
1273,01-03-2024,Peru,Hogar,264.27,1,264.27,,4.0,45.0
1194,2024-02-20,Perú,hogar,168.16,1,168.16,,1.0,200.0
1015,15/01/2024,,Electronica ,381.74,2,763.48,Tarjeta,1.0,52.0
1441,,Perú,hogar,590.31,1,590.31,,3.0,200.0
1346,2024/04/10,,Ropa,206.1,1,206.1,Efectivo,1.0,18.0
1316,2024/04/10,,Electronica ,219.34,1,219.34,tarjeta,5.0,52.0
1254,2024-05-25,MEXICO,Juguetes,681.88,1,681.88,Tarjeta,3.0,18.0
1288,2024-01-15,MX,Electronica ,160.51,1,160.51,Efectivo,2.0,18.0
1415,2024-01-15,mexico,Electrónica,285.69,1,285.69,Efectivo,,18.0
1023,01-03-2024,MX,juguetes,664.42,2,1328.84,paypal,,200.0
1466,,MEXICO,hogar,1026.09,2,2052.18,tarjeta,99.0,45.0
1506,,MEXICO,ROPA,386.75,1,$386.75,PayPal,1.0,
1422,,colombia,juguetes,607.36,3,1822.08,Tarjeta,5.0,52.0
1519,01-03-2024,,juguetes,1207.32,2,2414.64,paypal,3.0,18.0
1321,2024-05-25,MX,,1421.7,2,$2843.4,efectivo,99.0,52.0
1260,2024/04/10,México,hogar,1640.44,1,1640.44,Efectivo,,200.0
1431,15/01/2024,Peru,electronica,446.81,3,1340.43,PayPal,1.0,34.0
1057,2024-01-15,Colombia,Juguetes,365.8,1,$365.8,efectivo,2.0,18.0
1427,2024-02-20,Colombia,electronica,479.49,3,$1438.47,tarjeta,5.0,-5.0
1561,15/01/2024,Colombia,,359.33,2,718.66,Tarjeta,,45.0
1071,,mexico,electronica,146.8,3,440.4,paypal,99.0,200.0
1357,2024-01-15,ESPAÑA,Hogar,510.02,1,510.02,tarjeta,99.0,-5.0
1143,2024/04/10,México,Ropa,116.36,2,232.72,,3.0,-5.0
1488,2024-05-25,  México ,Electronica ,95.96,2,191.92,paypal,3.0,18.0
1147,2024-05-25,  México ,Hogar,484.23,1,$484.23,Efectivo,99.0,18.0
1215,2024-01-15,mexico,Ropa,1081.48,1,1081.48,PayPal,1.0,34.0
1289,15/01/2024,colombia,Electronica ,638.96,2,1277.92,Tarjeta,2.0,25.0
1218,2024-05-25,mexico,hogar,896.91,2,1793.82,PayPal,3.0,34.0
1546,2024/04/10,Peru,ROPA,,1,$242.55,PayPal,,18.0
1081,15/01/2024,mexico,Electrónica,1083.43,1,1083.43,PayPal,99.0,45.0
1126,,Colombia,ROPA,861.42,1,$861.42,Efectivo,4.0,25.0
1373,01-03-2024,Perú,Juguetes,339.67,2,$679.34,,3.0,
1502,2024-01-15,colombia,Electrónica,676.24,2,1352.48,paypal,3.0,18.0
1080,,colombia,Hogar,,1,$711.29,Tarjeta,5.0,52.0
1421,01-03-2024,colombia,Hogar,284.88,1,$284.88,efectivo,2.0,25.0
1269,2024-01-15,MX,ROPA,235.47,1,235.47,Efectivo,4.0,52.0
1449,2024-05-25,España,Hogar,643.75,1,643.75,tarjeta,3.0,18.0
1258,01-03-2024,,hogar,163.55,1,163.55,efectivo,5.0,
1255,2024/04/10,MX,Ropa,1416.92,1,$1416.92,Efectivo,2.0,18.0
1271,2024-05-25,mexico,Juguetes,807.19,1,807.19,efectivo,99.0,52.0
1259,2024-01-15,Peru,ROPA,853.83,1,$853.83,Tarjeta,5.0,18.0
1340,01-03-2024,Perú,Hogar,467.78,1,467.78,paypal,99.0,25.0
1024,2024-02-20,mexico,electronica,251.26,1,$251.26,PayPal,3.0,34.0
1550,2024-02-20,ESPAÑA,Hogar,,2,2036.9,Efectivo,1.0,
1346,2024/04/10,,Ropa,206.1,1,206.1,Efectivo,1.0,18.0
1280,15/01/2024,España,Hogar,763.41,1,$763.41,PayPal,1.0,-5.0
1051,01-03-2024,ESPAÑA,hogar,445.37,1,445.37,tarjeta,5.0,34.0
1321,2024-05-25,MX,,1421.7,2,$2843.4,efectivo,99.0,52.0
1122,2024-05-25,mexico,hogar,83.45,2,166.9,Tarjeta,,18.0
1585,2024/04/10,Colombia,Ropa,203.82,2,407.64,PayPal,,25.0
1193,2024-01-15,mexico,Juguetes,107.54,2,215.08,Efectivo,,18.0
1083,,Peru,juguetes,276.22,2,552.44,PayPal,99.0,200.0
1124,2024-02-20,México,Electrónica,868.55,1,868.55,tarjeta,1.0,-5.0
1482,2024-01-15,,Hogar,1292.63,4,5170.52,PayPal,4.0,34.0
1362,2024/04/10,colombia,electronica,1850.38,1,$1850.38,,1.0,52.0
1345,2024-02-20,España,ROPA,828.73,2,$1657.46,efectivo,,52.0
1573,15/01/2024,Peru,ROPA,372.03,1,$372.03,Efectivo,2.0,
1392,2024/04/10,México,Electronica ,957.19,2,1914.38,efectivo,4.0,45.0
1292,2024-02-20,Perú,ROPA,627.89,1,$627.89,Efectivo,4.0,25.0
1576,2024-01-15,Colombia,Hogar,589.72,1,$589.72,tarjeta,5.0,25.0
1300,2024-01-15,  México ,,513.78,1,513.78,paypal,3.0,200.0
1426,,MX,Juguetes,432.32,1,432.32,efectivo,2.0,34.0
1031,2024-01-15,  México ,hogar,195.66,4,$782.64,tarjeta,3.0,18.0
1437,01-03-2024,  México ,Hogar,,1,$1637.05,Efectivo,,52.0
1279,2024-05-25,Peru,Electrónica,1537.94,1,1537.94,,4.0,200.0
1167,2024-01-15,ESPAÑA,juguetes,795.07,1,795.07,,3.0,-5.0
1235,2024/04/10,,Juguetes,,4,$1432.12,PayPal,,52.0
1200,15/01/2024,Perú,ROPA,873.81,1,$873.81,PayPal,2.0,25.0
1589,01-03-2024,  México ,Ropa,789.99,2,$1579.98,efectivo,,34.0
1313,2024-01-15,ESPAÑA,Electronica ,1160.59,2,2321.18,,,-5.0
1459,2024-02-20,MX,juguetes,1010.71,1,$1010.71,paypal,99.0,34.0
1251,2024-01-15,  México ,juguetes,1524.96,1,$1524.96,efectivo,2.0,18.0
1480,2024-01-15,Colombia,ROPA,1541.47,5,7707.35,paypal,2.0,25.0
1173,,Peru,Electrónica,347.15,4,1388.6,PayPal,,-5.0
1217,01-03-2024,España,Ropa,996.32,4,3985.28,PayPal,3.0,-5.0
1476,01-03-2024,España,Juguetes,221.54,1,221.54,paypal,2.0,52.0
1368,2024-02-20,mexico,Electronica ,744.26,1,744.26,PayPal,5.0,45.0
1564,2024-01-15,colombia,juguetes,63.35,1,63.35,Tarjeta,2.0,52.0
1452,2024/04/10,ESPAÑA,Hogar,1463.98,2,$2927.96,PayPal,3.0,18.0
1101,,MX,Ropa,455.52,1,$455.52,paypal,4.0,18.0
1042,2024/04/10,Colombia,hogar,31517.5,1,31517.5,Tarjeta,5.0,200.0
1196,,México,ROPA,828.62,1,828.62,,2.0,-5.0
1490,15/01/2024,Colombia,Ropa,927.46,1,$927.46,Efectivo,2.0,52.0
1220,,  México ,Hogar,3801.83,1,3801.83,tarjeta,99.0,200.0
1359,2024/04/10,,juguetes,600.49,1,600.49,efectivo,99.0,45.0
1568,15/01/2024,Peru,hogar,1450.1,1,$1450.1,,99.0,200.0
1119,2024-05-25,España,Ropa,396.97,1,$396.97,paypal,,45.0
1380,2024-05-25,colombia,Electrónica,576.6,2,1153.2,paypal,1.0,34.0
1456,,ESPAÑA,Hogar,636.69,3,$1910.07,PayPal,3.0,45.0
1069,,México,,1083.29,1,1083.29,PayPal,5.0,45.0
1310,2024-01-15,España,juguetes,1582.52,1,1582.52,Tarjeta,,25.0
1172,2024-02-20,  México ,Hogar,1209.68,1,1209.68,Tarjeta,4.0,200.0
1149,2024-02-20,MEXICO,ROPA,328.64,3,$985.92,Tarjeta,3.0,200.0
1236,2024-05-25,Colombia,,493.71,1,$493.71,efectivo,2.0,-5.0
1037,2024-01-15,  México ,ROPA,4028.4999999999995,1,$4028.5,,99.0,34.0
1557,01-03-2024,ESPAÑA,Ropa,1114.4,1,1114.4,tarjeta,,52.0
1180,,España,Electrónica,376.96,1,376.96,tarjeta,5.0,25.0
1100,2024-01-15,,ROPA,719.36,1,$719.36,efectivo,2.0,-5.0
1432,2024-02-20,colombia,hogar,338.88,1,338.88,Tarjeta,99.0,25.0
1127,2024-02-20,ESPAÑA,Electrónica,1641.89,3,4925.67,efectivo,,25.0
1460,,España,juguetes,23622.0,2,47244.0,,3.0,18.0
1538,2024-01-15,colombia,,419.95,1,$419.95,Efectivo,1.0,52.0
1103,01-03-2024,Colombia,,316.99,3,950.97,Efectivo,,
1444,,España,ROPA,789.55,1,$789.55,efectivo,2.0,34.0
1246,2024-01-15,,Ropa,572.99,1,572.99,Tarjeta,,45.0
1478,2024-05-25,Colombia,Ropa,,2,2335.4,Tarjeta,4.0,52.0
1120,2024-01-15,México,Electronica ,219.87,1,219.87,Efectivo,1.0,200.0
1076,,  México ,,69.41,1,69.41,PayPal,99.0,200.0
1053,15/01/2024,MEXICO,Electronica ,597.37,3,1792.11,paypal,4.0,-5.0
1229,2024-01-15,España,Juguetes,429.91,1,429.91,tarjeta,1.0,34.0
1367,,Colombia,,838.52,1,838.52,PayPal,2.0,
1409,,MX,Hogar,39.55,1,39.55,Tarjeta,,
1110,01-03-2024,ESPAÑA,Electronica ,563.26,1,563.26,Tarjeta,5.0,45.0
1007,15/01/2024,Perú,Ropa,370.33,1,370.33,tarjeta,2.0,
1025,15/01/2024,,Hogar,808.59,2,$1617.18,Efectivo,2.0,45.0
1525,2024-02-20,  México ,Electrónica,366.8,1,366.8,Tarjeta,1.0,18.0
1322,01-03-2024,colombia,hogar,246.29,1,246.29,,3.0,18.0
1416,2024/04/10,España,Electronica ,245.73,1,245.73,tarjeta,99.0,
1352,15/01/2024,,hogar,359.38,2,718.76,,3.0,
1061,01-03-2024,Colombia,juguetes,709.79,1,709.79,,1.0,200.0
1207,2024-02-20,MEXICO,Juguetes,353.03,1,$353.03,tarjeta,3.0,-5.0
1493,2024-05-25,MX,hogar,109.12,1,$109.12,,3.0,52.0
1020,2024-05-25,Colombia,ROPA,113.43,1,113.43,Tarjeta,3.0,-5.0
1582,2024/04/10,México,Hogar,1088.82,2,$2177.64,Efectivo,1.0,-5.0
1009,15/01/2024,ESPAÑA,ROPA,1021.78,3,3065.34,tarjeta,,52.0
1462,2024/04/10,MEXICO,ROPA,348.79,4,1395.16,,3.0,52.0
1581,15/01/2024,Peru,juguetes,,2,400.28,Efectivo,2.0,52.0
1061,01-03-2024,Colombia,juguetes,709.79,1,709.79,,1.0,200.0
1365,15/01/2024,,Electronica ,269.42,1,$269.42,Tarjeta,5.0,18.0
1487,2024-05-25,MEXICO,electronica,751.79,1,751.79,tarjeta,5.0,45.0
1188,2024-01-15,Perú,Hogar,23264.5,4,93058.0,PayPal,1.0,52.0
1162,,colombia,juguetes,1543.54,1,1543.54,,99.0,200.0
1496,2024-01-15,colombia,hogar,,5,5103.6,tarjeta,1.0,200.0
1562,2024/04/10,  México ,electronica,142.65,4,570.6,tarjeta,2.0,34.0
1216,2024/04/10,mexico,hogar,316.17,1,316.17,,1.0,
1542,01-03-2024,España,electronica,723.04,2,1446.08,tarjeta,,-5.0
1489,15/01/2024,Colombia,,1400.93,1,1400.93,,4.0,
1545,2024-01-15,Peru,ROPA,224.29,1,224.29,PayPal,4.0,
1096,2024-05-25,,Electronica ,108.0,2,$216.0,efectivo,99.0,-5.0
1244,2024/04/10,MX,,59697.0,1,59697.0,efectivo,5.0,-5.0
1113,2024-01-15,,hogar,,5,864.35,Tarjeta,2.0,34.0
1014,2024-02-20,Perú,hogar,1738.67,2,3477.34,PayPal,1.0,200.0
1242,01-03-2024,mexico,juguetes,611.64,1,$611.64,Efectivo,4.0,34.0
1563,2024/04/10,ESPAÑA,electronica,707.79,1,707.79,Tarjeta,3.0,34.0
1509,2024/04/10,Colombia,hogar,166.9,1,$166.9,efectivo,,
1559,2024/04/10,mexico,Hogar,381.26,4,1525.04,PayPal,5.0,25.0
1529,2024-01-15,MEXICO,Electronica ,1309.37,1,$1309.37,PayPal,,200.0
1379,,  México ,electronica,50114.0,1,50114.0,Efectivo,4.0,52.0
1163,15/01/2024,  México ,,86.46,1,$86.46,tarjeta,2.0,-5.0
1485,01-03-2024,MEXICO,Electrónica,515.98,3,1547.94,Tarjeta,3.0,
1414,01-03-2024,Colombia,hogar,915.22,1,915.22,,3.0,25.0
1286,2024-02-20,  México ,Juguetes,788.61,1,788.61,paypal,5.0,
1249,2024-02-20,Perú,Ropa,109.12,4,436.48,Efectivo,,18.0
1264,2024/04/10,colombia,juguetes,249.12,1,249.12,paypal,99.0,200.0
1570,,Colombia,ROPA,743.41,2,1486.82,,3.0,
1293,2024-05-25,MX,hogar,1323.75,1,1323.75,,2.0,45.0
1528,01-03-2024,Colombia,electronica,520.63,2,1041.26,tarjeta,1.0,-5.0
1411,2024-05-25,Perú,Electrónica,,1,287.85,PayPal,99.0,45.0
1294,2024-05-25,,juguetes,868.78,1,868.78,efectivo,1.0,18.0
